 
log File 
 
User : hannuo 
2021/10/15 周五 
11:28
 
Process Ran by hannuo 
 

映像名称                       PID 会话名              会话#       内存使用 
msedge.exe                   12980 Console                    1     42,020 K
msedge.exe                   13008 Console                    1      1,740 K
msedge.exe                    9416 Console                    1      7,024 K
msedge.exe                    9404 Console                    1     16,616 K
msedge.exe                   13372 Console                    1      1,048 K
svchost.exe                  13688 Services                   0      3,192 K
Cortana.exe                  13796 Console                    1         16 K
RuntimeBroker.exe            13872 Console                    1      4,980 K
svchost.exe                  13972 Console                    1      4,284 K
xampp-control.exe            14032 Console                    1      9,208 K
baidupinyin.exe              14160 Console                    1     15,280 K
ZapyaAdaptor.exe             14188 Console                    1     12,216 K
cmd.exe                      14224 Console                    1         16 K
conhost.exe                  14276 Console                    1      4,820 K
vmware-tray.exe              13568 Console                    1      1,092 K
cmd.exe                      13604 Console                    1         16 K
Rainmeter.exe                13756 Console                    1     17,772 K
jusched.exe                  13752 Console                    1      2,976 K
sunny.exe                    13516 Console                    1      2,608 K
httpd.exe                    14532 Console                    1        180 K
conhost.exe                  14540 Console                    1      1,356 K
cmd.exe                      14608 Console                    1         16 K
conhost.exe                  14616 Console                    1      4,600 K
httpd.exe                    14992 Console                    1      5,304 K
MpCopyAccelerator.exe        15432 Services                   0      7,060 K
WmiPrvSE.exe                 15828 Services                   0      6,988 K
java.exe                     15968 Console                    1     20,988 K
AUEPDU.exe                   16268 Services                   0     10,508 K
SgrmBroker.exe               11816 Services                   0      9,428 K
svchost.exe                   9648 Services                   0     20,864 K
svchost.exe                  14776 Services                   0     13,560 K
svchost.exe                  15940 Console                    1      2,376 K
LdsLite.exe                  11036 Console                    1     26,692 K
ComputerZTray.exe             1300 Console                    1     40,492 K
guardhp.exe                  12632 Console                    1     13,128 K
unsecapp.exe                  5868 Console                    1      2,976 K
ComputerZService.exe         16592 Console                    1     20,012 K
GoogleUpdate.exe              2464 Services                   0      1,120 K
svchost.exe                   5576 Services                   0      6,820 K
svchost.exe                  14780 Console                    1     14,724 K
ShellExperienceHost.exe       3144 Console                    1     50,996 K
svchost.exe                  12244 Console                    1      8,132 K
